,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
3941,301001,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}]",366760,"[{'y': 63, 'x': 80}, {'y': 0, 'x': 0}]",2500867,Shot,3799,2H,2837.279689,100.0,216453787,"[402, 201, 1206, 1801]",92.28799481666667,80,63,"['Right foot', 'Opportunity', 'Position: Goal center right', 'Accurate']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.636309328156834,21.92,52,33,0.6962943333333413,Foul,Simple pass
3942,301061,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1212}, {'id': 1802}]",276920,"[{'y': 59, 'x': 86}, {'y': 0, 'x': 0}]",2500868,Shot,3772,1H,145.94640800000005,100.0,216449979,"[402, 201, 1212, 1802]",2.4324401333333343,86,59,"['Right foot', 'Opportunity', 'Position: Out low left', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15.821267332296744,21.7,8,38,0.03320176666666841,Clearance,Head pass
3943,301214,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1216}, {'id': 1802}]",25923,"[{'y': 55, 'x': 95}, {'y': 0, 'x': 0}]",2500868,Shot,3772,1H,658.351215,100.0,216450148,"[403, 201, 1216, 1802]",10.97252025,95,55,"['Head/body', 'Opportunity', 'Position: Out high right', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.174544517614234,31.76,6,43,0.02612033333333308,Air duel,Air duel
3944,301494,10,Shot,"[{'id': 401}, {'id': 1210}, {'id': 1802}]",14945,"[{'y': 33, 'x': 86}, {'y': 100, 'x': 100}]",2500868,Shot,3787,1H,1479.104524,100.0,216450483,"[401, 1210, 1802]",24.651742066666667,86,33,"['Left foot', 'Position: Out low right', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.39001087547259,36.93,84,88,0.19243245000000186,Ground defending duel,Smart pass
3945,301546,10,Shot,"[{'id': 402}, {'id': 1212}, {'id': 1802}]",116345,"[{'y': 35, 'x': 87}, {'y': 100, 'x': 100}]",2500868,Shot,3787,1H,1713.035221,100.0,216450548,"[402, 1212, 1802]",28.550587016666668,87,35,"['Right foot', 'Position: Out low left', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.774534270733128,35.54,14,65,0.02761253333333258,Air duel,Air duel
3946,301564,10,Shot,"[{'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",28335,"[{'y': 66, 'x': 94}, {'y': 100, 'x': 100}]",2500868,Shot,3787,1H,1763.18773,100.0,216450578,"[1901, 402, 201, 1202, 1801]",29.386462166666668,94,66,"['Counter attack', 'Right foot', 'Opportunity', 'Position: Goal low right', 'Accurate']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.159358535712315,58.79,70,67,0.17228209999999322,Ground loose ball duel,Smart pass
3947,301724,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",276920,"[{'y': 71, 'x': 81}, {'y': 0, 'x': 0}]",2500868,Shot,3772,1H,2231.268832,100.0,216450695,"[402, 201, 1216, 1802]",37.18781386666667,81,71,"['Right foot', 'Opportunity', 'Position: Out high right', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.17281530976481,34.38,27,7,0.25535365000001065,Ground defending duel,Simple pass
3948,301762,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1216}, {'id': 1802}]",25923,"[{'y': 63, 'x': 97}, {'y': 0, 'x': 0}]",2500868,Shot,3772,1H,2370.472,100.0,216450736,"[403, 201, 1216, 1802]",39.50786666666667,97,63,"['Head/body', 'Opportunity', 'Position: Out high right', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.018037480516483,69.56,3,34,0.027972516666679326,Air duel,Air duel
3949,301798,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",14945,"[{'y': 53, 'x': 83}, {'y': 100, 'x': 100}]",2500868,Shot,3787,1H,2467.445222,100.0,216450820,"[402, 2101, 1802]",41.12408703333333,83,53,"['Right foot', 'Blocked', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.956196701974495,6.23,31,95,0.3405817999999954,Ground defending duel,High pass
3950,302114,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",344744,"[{'y': 71, 'x': 78}, {'y': 100, 'x': 100}]",2500868,Shot,3787,2H,869.633832,100.0,216451243,"[401, 201, 1201, 1801]",59.4938972,78,71,"['Left foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.831557912279333,30.58,24,22,0.028453283333341517,Ground defending duel,Ground attacking duel
